GEO.id2,Majority,MAX,HC01_EST_VC01,HC01_EST_VC03,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC55
36005017902,Public transportation (excluding taxicab),78.5,1289,10.2,9.2,1,78.5,10.3,0,1,0,41.1
36005018101,Public transportation (excluding taxicab),68.4,1269,25.5,23.9,1.7,68.4,5,0,0,1.1,41.6
36005018102,Public transportation (excluding taxicab),74.5,2230,12.5,9.9,2.6,74.5,5.8,0.7,3.2,3.3,40.7
36005018301,Public transportation (excluding taxicab),60.2,1742,17.7,15.8,1.9,60.2,9.8,0.2,4.8,7.2,41
36005018302,Public transportation (excluding taxicab),67.9,1438,11.8,10.4,1.5,67.9,10.5,3.3,2,4.5,40.1
36005018400,"Car, truck, or van",61.8,1863,61.8,59.6,2.3,34.1,0.5,0,0,3.6,40.2
36005018500,Public transportation (excluding taxicab),64,3195,14.1,12.9,1.3,64,14.2,0,2.1,5.5,47.5
36005018900,Public transportation (excluding taxicab),58.4,3199,25.2,21.2,4,58.4,12.5,0,2.2,1.7,40.8
36005019300,Public transportation (excluding taxicab),66.1,1647,21.8,16.8,5,66.1,6.7,0,1.6,3.7,47.3
36005019400,"Car, truck, or van",47.2,995,47.2,38.3,8.9,42,8.5,0,1.7,0.5,41.4
36005019500,Public transportation (excluding taxicab),70.8,2983,12.5,6.8,5.7,70.8,7.2,0,1.7,7.7,42
36005019700,Public transportation (excluding taxicab),84.3,2993,7.3,6.8,0.4,84.3,6.2,0,2.2,0,41.6
36005019900,Public transportation (excluding taxicab),69.9,3752,20.3,15.8,4.6,69.9,5.2,1.5,1.7,1.4,39.7
36005020000,Public transportation (excluding taxicab),69.5,1989,18.6,12.6,6,69.5,7.2,0.4,3.7,0.6,51.1
36005020100,Public transportation (excluding taxicab),67.6,1822,14.5,11.8,2.7,67.6,9.1,0,0.8,8,40.8
36005020200,Public transportation (excluding taxicab),59.1,931,27.8,23.4,4.4,59.1,8.4,0,0,4.7,45
36005020400,Public transportation (excluding taxicab),53,1525,30.8,25.6,5.2,53,12.1,0,1.1,3,41.3
36005020501,Public transportation (excluding taxicab),68.1,2731,17.6,14.6,3.1,68.1,11.6,0,1.2,1.5,42
36005020502,Public transportation (excluding taxicab),64.5,642,30.7,29.9,0.8,64.5,2.8,0,1.1,0.9,37
36005020601,Public transportation (excluding taxicab),61.5,1157,30.1,26.5,3.5,61.5,8.5,0,0,0,47.2
36005020900,Public transportation (excluding taxicab),71.1,2024,17.3,16.2,1.1,71.1,3.3,0,7.4,1,41.8
36005021001,Public transportation (excluding taxicab),66.4,4873,20,17.6,2.4,66.4,6.6,0.3,5.6,1,48.8
36005021002,Public transportation (excluding taxicab),72.5,3741,19.3,15.7,3.6,72.5,5.6,0,1.4,1.2,48.8
36005021100,Public transportation (excluding taxicab),65.2,1991,18.7,14.8,3.9,65.2,13.6,1.6,0,0.9,39.5
36005021200,Public transportation (excluding taxicab),64.1,2343,21.1,17.7,3.4,64.1,8.4,0,2.9,3.5,47.2
36005021301,Public transportation (excluding taxicab),72.4,464,13.1,13.1,0,72.4,12.1,0,0,2.4,37.8
36005021302,Public transportation (excluding taxicab),70.3,2536,12.3,8.6,3.7,70.3,13.5,0,2.3,1.6,45.1
36005021501,Public transportation (excluding taxicab),63,1625,25.5,21.1,4.4,63,7,0,2.6,2,45.8
36005021502,Public transportation (excluding taxicab),64.9,2435,22.7,17,5.7,64.9,7.8,0,2.7,1.8,44.8
36005021601,Public transportation (excluding taxicab),65.6,1631,26.9,20.4,6.6,65.6,5.3,0,0.9,1.3,43.8
36005021602,Public transportation (excluding taxicab),69,2831,21.6,14.4,7.2,69,6,0,0.7,2.8,53.5
36005021700,Public transportation (excluding taxicab),71.9,2170,19.4,17.7,1.7,71.9,4.7,0,0.9,3,44.1
36005021800,Public transportation (excluding taxicab),49.8,3026,33.6,25.2,8.4,49.8,8.9,0,1,6.7,41.8
36005021900,Public transportation (excluding taxicab),73.9,545,16.3,11.4,5,73.9,7.7,0,0,2,43.1
36005022000,Public transportation (excluding taxicab),68.8,947,21.9,17.6,4.2,68.8,4,0,3.9,1.4,41.3
36005022101,Public transportation (excluding taxicab),69,1424,14.4,10.8,3.6,69,6.2,2.2,2.5,5.8,41.9
36005022102,Public transportation (excluding taxicab),70.2,1738,17.5,13.2,4.4,70.2,3.3,0,3.6,5.4,41.5
36005022200,Public transportation (excluding taxicab),65.7,1765,30.3,23.5,6.8,65.7,1.9,0,1.6,0.5,45.1
36005022300,Public transportation (excluding taxicab),72.6,2162,10.6,8.2,2.4,72.6,10.7,0.7,0,5.3,44.4
36005022401,Public transportation (excluding taxicab),66.1,1152,20.3,15.5,4.9,66.1,3.8,3,1.6,5,42.8
36005022403,Public transportation (excluding taxicab),73.9,1583,10.2,9.5,0.6,73.9,7.1,3.5,0,5.4,51.5
36005022404,Public transportation (excluding taxicab),68.3,2109,20,17.5,2.5,68.3,5.8,0.9,1.6,3.4,48
36005022500,Public transportation (excluding taxicab),69.1,2777,18.1,11.1,7.1,69.1,6.6,0,5.3,0.9,38.3
36005022701,Public transportation (excluding taxicab),63,2567,20.8,15.3,5.5,63,12.3,0,0.3,3.7,41.7
36005022702,Public transportation (excluding taxicab),63.6,692,15.2,12.7,2.5,63.6,11.6,0,2.5,7.2,37.5
36005022703,Public transportation (excluding taxicab),57.5,830,18.8,13.3,5.5,57.5,23,0,0.7,0,31.8
36005022800,Public transportation (excluding taxicab),62.6,2848,20.6,13.8,6.8,62.6,11.5,0,0.5,4.8,47.5
36005022901,Public transportation (excluding taxicab),68.3,2038,16.4,15.2,1.2,68.3,7.4,0,0.8,7.2,41
36005022902,Public transportation (excluding taxicab),60.7,1403,20.5,15.3,5.1,60.7,11.3,1.6,0,5.8,39.8
36005023000,Public transportation (excluding taxicab),62.3,1341,28.2,21.2,7,62.3,5.7,0.7,0,3.1,44
36005023100,Public transportation (excluding taxicab),78.7,413,12.6,12.6,0,78.7,3.4,3.1,2.2,0,46.8
36005023200,Public transportation (excluding taxicab),49.7,1144,36.6,31.6,5,49.7,6.9,0.4,1.5,4.9,43.1
36005023301,Public transportation (excluding taxicab),68.3,1677,18.8,16.4,2.4,68.3,4.4,0,2.1,6.3,37.4
36005023302,Public transportation (excluding taxicab),71.1,1427,13.9,9.7,4.2,71.1,8.6,0,1,5.4,41.1
36005023501,Public transportation (excluding taxicab),73.7,1306,12.3,7.9,4.4,73.7,6.7,0,5.3,2.1,40.5
36005023502,Public transportation (excluding taxicab),68.4,2004,15.2,10.3,4.9,68.4,8.4,0,0,8,40.8
36005023600,Public transportation (excluding taxicab),49.6,863,33.8,28.5,5.3,49.6,13.8,0.8,0,2,38.9
36005023702,Public transportation (excluding taxicab),83.3,455,9.2,5.9,3.3,83.3,4.6,0,0,2.9,43.7
36005023703,Public transportation (excluding taxicab),71.6,2197,7.5,4.6,2.9,71.6,11,0,1.9,8,47.2
36005023704,Public transportation (excluding taxicab),60.8,1527,7.9,7.9,0,60.8,14.1,0,0.9,16.4,43.5
36005023800,Public transportation (excluding taxicab),48.2,1077,35.7,31.8,3.9,48.2,11.7,0.4,2.4,1.6,39.7
36005023900,Public transportation (excluding taxicab),62.6,2867,23.4,20.9,2.5,62.6,9.9,0,0,4,42.5
36005024000,Public transportation (excluding taxicab),63.5,1814,28.7,25.5,3.2,63.5,1.7,1.7,0.6,3.9,42.1
36005024100,Public transportation (excluding taxicab),62.5,2810,22.6,19,3.6,62.5,9.2,0,1.7,4,40
36005024300,Public transportation (excluding taxicab),64.4,1744,25.2,14,11.1,64.4,5.2,0,1.4,3.7,40.1
36005024400,"Car, truck, or van",53,1106,53,47.8,5.2,35.6,5.4,0,3.1,2.9,41.3
36005024501,Public transportation (excluding taxicab),72.2,1747,18,14.6,3.4,72.2,4.8,1.5,0.4,3.1,44.1
36005024502,Public transportation (excluding taxicab),56.8,1444,13.6,12.5,1,56.8,8.7,7.8,5.7,7.5,36.6
36005024600,"Car, truck, or van",46.3,1111,46.3,32.6,13.7,46.2,2.5,0,3.6,1.4,39.9
36005024700,Public transportation (excluding taxicab),55,843,36.5,30.7,5.8,55,1.7,0,0.7,6,47.4
36005024800,Public transportation (excluding taxicab),51.4,1326,38.4,28.3,10.1,51.4,6.9,0,0,3.3,40.8
36005024900,"Car, truck, or van",0,0,0,0,0,0,0,0,0,0,0
36005025000,"Car, truck, or van",39.9,1199,39.9,34.9,4.9,36.9,17.1,1.1,1.6,3.4,34.3
36005025100,Public transportation (excluding taxicab),64.6,2832,14.4,11.6,2.8,64.6,13.5,0,5.3,2.2,41.1
36005025200,Public transportation (excluding taxicab),42.9,1155,39,33.6,5.4,42.9,13,2.2,1.7,1.3,38.8
36005025300,Public transportation (excluding taxicab),68.6,2484,15.3,10.3,5,68.6,6.2,0.6,4.9,4.3,41.6
36005025400,Public transportation (excluding taxicab),43.5,1022,43,33.8,9.2,43.5,9.2,0.2,0.6,3.5,37.5
36005025500,Public transportation (excluding taxicab),71.6,2994,12.9,8.2,4.7,71.6,9.4,0,0,6.1,42.8
36005025600,Public transportation (excluding taxicab),47.6,654,33.5,26,7.5,47.6,13.9,0,5,0,40
36005025700,Public transportation (excluding taxicab),78.4,1229,9.7,7.4,2.3,78.4,9,2.8,0,0.2,45.1
36005026100,Public transportation (excluding taxicab),64.9,936,28.8,27.6,1.3,64.9,2.2,0,0.7,3.3,45.4
36005026300,Public transportation (excluding taxicab),69,2399,7.7,7.7,0,69,13.5,0,0,9.8,45.9
36005026400,"Car, truck, or van",49.1,2681,49.1,41.1,7.9,38.7,9.3,2.4,0,0.6,38.6
36005026500,Public transportation (excluding taxicab),72.7,3759,14.3,12.7,1.6,72.7,9.4,0,0.7,2.8,44.1
36005026601,Public transportation (excluding taxicab),54.8,1470,37.1,33.1,3.9,54.8,1.3,0,3.8,3,45.2
36005026602,Public transportation (excluding taxicab),54.8,2399,40.3,31.3,9,54.8,1,0,1.7,2.3,44
36005026701,Public transportation (excluding taxicab),70.1,1847,16.4,12.8,3.5,70.1,8,1.7,2.6,1.2,52.3
36005026702,Public transportation (excluding taxicab),58.7,3125,20.9,20.4,0.4,58.7,10.1,3.2,0.6,6.5,42.6
36005026900,Public transportation (excluding taxicab),67.3,1938,25.9,19.7,6.2,67.3,5.1,0,0.6,1.1,44.9
36005027300,Public transportation (excluding taxicab),70,3260,22,18.7,3.3,70,6,0,0.9,1.1,49.3
36005027401,"Car, truck, or van",59.2,2380,59.2,53.9,5.3,33.3,3.3,0,1.1,3,40
36005027402,"Car, truck, or van",68.9,1564,68.9,58.5,10.4,20.5,2.4,0,2,6.2,33.9
36005027600,"Car, truck, or van",100,6,100,66.7,33.3,0,0,0,0,0,0
36005027700,Public transportation (excluding taxicab),69.7,2406,13.2,10.1,3.1,69.7,14.5,0,1.2,1.5,41.3
36005027900,Public transportation (excluding taxicab),65,3625,27,23.8,3.2,65,4.3,0.5,0.7,2.5,47.4
36005028100,Public transportation (excluding taxicab),58.3,1914,26,24.1,1.9,58.3,9.9,0.4,0.9,4.5,44.6
36005028300,Public transportation (excluding taxicab),64.5,1027,27.8,18.8,9.1,64.5,3.7,0,0.9,3.1,46
36005028400,Public transportation (excluding taxicab),57,86,0,0,0,57,0,8.1,0,34.9,33.8
36005028500,Public transportation (excluding taxicab),54.1,1808,30.8,26.7,4,54.1,10.1,2.2,0,2.9,43.2
36005028600,"Car, truck, or van",58.9,608,58.9,52.1,6.7,18.1,20.1,0,0,3,36.5
36005028700,Public transportation (excluding taxicab),57.1,1374,27.7,24.3,3.3,57.1,9.9,0,0,5.4,43.6
36005028800,"Car, truck, or van",54.5,1788,54.5,41.4,13.1,22.3,19.6,0,0,3.6,32.8
36005028900,Public transportation (excluding taxicab),60.3,2328,26.3,23.3,3,60.3,4.8,1.7,1.3,5.5,46.5
36005029301,"Car, truck, or van",46.6,847,46.6,43.3,3.3,35.9,1.5,0.9,1.3,13.7,40
36005029302,"Car, truck, or van",45,3105,45,36.8,8.2,40.8,4.2,1,1.1,7.9,50.2
36005029500,Public transportation (excluding taxicab),57.2,2682,20.7,16.9,3.8,57.2,6.9,0.8,6.4,8,45.1
36005029600,Public transportation (excluding taxicab),34.7,862,23.7,17.3,6.4,34.7,33.9,1.5,0.7,5.6,31.8
36005029700,Public transportation (excluding taxicab),50.1,1743,36.3,32.1,4.2,50.1,7,1.6,0.6,4.5,48.2
36005030000,"Car, truck, or van",52.1,2889,52.1,47,5.2,42.7,1.6,0,0,3.5,41.5
36005030100,"Car, truck, or van",45.4,474,45.4,30.4,15,42.8,4,0,2.3,5.5,46.8
36005030200,Public transportation (excluding taxicab),49.6,4238,45.1,42.4,2.6,49.6,3.7,0,0.5,1.2,46.2
36005030701,"Car, truck, or van",42.5,2477,42.5,36.7,5.8,41.7,5.8,0,2.5,7.4,45
36005030900,"Car, truck, or van",55.1,1229,55.1,44.8,10.3,32.5,1.5,0.7,0,10.1,45.6
36005031000,"Car, truck, or van",54.2,1896,54.2,44.1,10.1,35.4,2.6,0,0,7.7,42.3
36005031200,"Car, truck, or van",48.7,815,48.7,33.7,15,44.2,4.5,0,0,2.6,42.2
36005031400,"Car, truck, or van",49.1,1135,49.1,40.8,8.3,42.8,7.2,0,0,0.9,41.6
36005031600,"Car, truck, or van",50.2,934,50.2,44.8,5.5,47.3,2,0,0,0.4,43.5
36005031800,Public transportation (excluding taxicab),51.5,785,40.9,36.7,4.2,51.5,4.5,0,1.5,1.7,48.8
36005031900,Walked,52.3,172,20.9,13.4,7.6,7.6,52.3,0,1.2,18,17.8
36005032300,Public transportation (excluding taxicab),57.6,2231,36.1,30.8,5.2,57.6,3.5,0,0.8,2,45.2
36005032400,Public transportation (excluding taxicab),53.3,1342,28.8,25.6,3.2,53.3,14.8,0,0,3.1,46.4
36005032600,"Car, truck, or van",57.1,1459,57.1,46.4,10.7,33,5.9,0,2.5,1.5,39.7
36005032800,Public transportation (excluding taxicab),50.2,1353,23.4,22.5,0.8,50.2,17.4,2.5,2.4,4.1,35.3
36005033000,Public transportation (excluding taxicab),68.1,2561,21.2,20.1,1.1,68.1,7.7,0,0.8,2.2,47.5
36005033201,Public transportation (excluding taxicab),66.1,2171,22.5,18.5,4,66.1,6.3,0,1.1,3.9,48.1
36005033202,Public transportation (excluding taxicab),62,1398,31.8,31.8,0,62,3,0,0,3.1,50.9
36005033400,Public transportation (excluding taxicab),62.7,271,35.8,35.8,0,62.7,0,0,0,1.5,43
36005033500,Public transportation (excluding taxicab),40,870,31.3,23.6,7.7,40,14.4,1.4,2,11,40.6
36005033600,Public transportation (excluding taxicab),57,2471,35.9,35.9,0,57,6.4,0,0.7,0,42.4
36005033700,"Car, truck, or van",50.8,1062,50.8,45.9,5,40.3,4.9,0.3,1.4,2.3,44.6
36005033800,Public transportation (excluding taxicab),59.3,1811,28.5,24.7,3.8,59.3,2.5,0,2.5,7.1,48.4
36005034000,Public transportation (excluding taxicab),52.4,2244,30.8,29.2,1.6,52.4,8.8,3.8,2.3,1.9,45
36005034200,Public transportation (excluding taxicab),48,834,44,41.6,2.4,48,4,0,3,1.1,44.9
36005034300,Public transportation (excluding taxicab),49.6,758,43.5,37.9,5.7,49.6,3.2,0,0.5,3.2,47.5
36005034400,"Car, truck, or van",54,1096,54,42.6,11.4,37,0.6,0,0,8.3,45
